1,Belgien,John Martin _Scottish & Newcastle_,Gordon X-Mas Ale,2005-12-07
2,USA,Anchor Brewing Company,Anchor Our Special Ale _2005 and later_ Merry Christmas and a happy new year,2005-12-07
3,Danmark,Husbryggeriet Jacobsen _Carlsberg_,Jacobsen Original Dark Lager,2006-08-25
4,Skottland,The Caledonian Brewing Company,Caledonian 80,2006-08-02
5,Storbritanien,Wells & Young_s Ltd,Young_s Winter Warmer,2006-12-06
6,Storbritanien,Shepherd Neame Ltd,Shepherd Neame 1698,2006-07-05
7,Storbritanien,Shepherd Neame Ltd,Whitstable Bay,2006-04-05
8,Storbritanien,Shepherd Neame Ltd,Bishop finger,2006-04-05
9,Storbritanien,Shepherd Neame Ltd,Spitfire,2006-04-05
10,Storbritanien,Shepherd Neame Ltd,Shepherd Neame Late Red,2006-04-05
11,Storbritanien,Shepherd Neame Ltd,Bishop_s Arms House Ale,2006-12-06
12,Storbritanien,Fullers,Fullers Discovery,2006-01-04
13,Storbritanien,Wychwood _Marstons plc_,Ushers Founders Ale,2006-01-04
14,Sverige,Jämtlands bryggeri,Jämtlands Tiotaggare,2006-11-01
15,Sverige,Nils Oscar,Nils Oscar Farm Ale,2006-03-01
16,Sverige,Slottskällans Bryggeri,Slottskällans Bryggeri,2006-03-01
17,Sverige,Åbro bryggeri,Åbro Arton56 Amber,2006-11-01
18,Tjeckien,Pivovar Velké Popovice _SAB Miller_,Kozel Premium Lager 12,2006-09-06
19,Tjeckien,Plzensky Prazdroj,Gambrinius _Gambrinus Premium Svetlý Ležák 12_,2006-09-06
20,Tjeckien,Plzensky Prazdroj,Pilsner Urquell,2006-09-06
21,Tyskland,Brauerei Heller-Trum _ Schlenkerla,Aecht Schlenkerla Rauchbier Märzen,2006-07-05
22,Tyskland,Friesisches Brauhaus,Jever Pilsener,2006-09-02
23,Tyskland,Spaten-Franziskaner-Bräu,Spaten Oktoberfestbier,2006-10-04
24,Tyskland,Spaten-Franziskaner-Bräu,Spaten Optimator,2006-10-04
25,Tyskland,Paulaner Brauerei _Schörghuber_,Hacker-Pschorr Braumeister Pils,2006-08-02
26,Tyskland,Paulaner Brauerei _Schörghuber_,Paulaner Oktoberfest Bier,2006-10-04
27,Österike,Stiegl,Stiegl Pils,2006-05-03
28,Belgien,Brouwerij Affligem _ De Smedt _Heineken_,Affligem Blond,2007-03-07
29,Belgien,Brouwerij Affligem _ De Smedt _Heineken_,Affligem Dubbel,2007-03-07
30,Belgien,Brouwerij De Dolle Brouwers,Oerbier,2007-07-04
31,Belgien,Brouwerij de Koningshoeven,La Trappe Tripel,2007-12-01
32,Belgien,Palm Breweries,King Cobra,2007-02-07
33,Belgien,St. Bernardus,Grottenbier,2007-07-04
34,Danmark,Husbryggeriet Jacobsen _Carlsberg_,Jacobsen Original Dark Lager,2007-01-03
35,Skottland,Traquair House,Traquair House Ale,2007-01-03
36,Skottland,Williams Brothers _Heather Ales_,Heather Ales Kelpie,2007-02-07
37,Skottland,Williams Brothers _Heather Ales_,Alba,2007-02-07
38,Storbritanien,Daleside,Daleside Monkey Wrench,2007-09-05
39,Storbritanien,Shepherd Neame Ltd,Shepherd Neame Christmas Ale,2007-12-05
40,Storbritanien,Ringwood _Marstons plc_,Ringwood XXXX Porter,2007-09-05
41,Sverige,Hällsinge bryggeri,Hälsinge Stout,2007-05-02
42,Sverige,Nils Oscar,Nils Oscar Kalaspåsköl,2007-04-04
43,Sverige,Nynäshamns Ångbryggeri AB,Bedarö Bitter,2007-12-01
44,Sverige,Skebo Bruksbryggeri,Bruksöl,2007-05-02
45,Sverige,Spendrups,Marierstad Export,2007-06-06
46,Sverige,Spendrups,Wisby Hansapils,2007-06-06
47,Tyskland,Friesisches Brauhaus,Jever Pilsener,2007-12-01
48,Tyskland,Paulaner Brauerei _Schörghuber_,Salvator,2007-04-04
49,Tyskland,Hofbräu München,Oktoberfestbier,2007-10-03
50,USA,Great Divide Brewing Company,Great Divide Ridgeline Amber Ale _Arapahoe Amber_,2007-08-01
51,USA,Rogue Ales,Rogue Chipotle Ale,2007-08-01
52,USA,Boston Beer Company _Samuel Adams_,Samuel Adams Winter Lager,2007-12-05
53,USA,Boston Beer Company _Samuel Adams_,Oktoberfest,2007-10-03
54,Belgien,Brouwerij De Dolle Brouwers,De Dolle Dulle Teve _Mad Bitch_,2008-01-02
55,Belgien,Brouwerij Lindemans,Lindemans Kriek Cuvée René,2008-09-05
56,Belgien,Het Anker,Gouden Carolus Classic,2008-07-02
57,Belgien,St. Bernardus,Wit,2008-07-02
58,Belgien,Verhaeghe,Verhaeghe Duchesse De Bourgogne,2008-04-02
59,Danmark,Bryghuset Braunstein,Braunstein Winter Bock,2008-03-05
60,Frankrike,Brasseries Kronenbourg,Kronenbourg Blanc,2008-02-06
61,Italien,Birrificio Angelo,Birra Poretti,2008-09-05
62,Skottland,Innis & Gunn,Innis & Gunn Rum Finish Oak Aged Beer,2008-01-02
63,Storbritanien,Marstons,Oyster Stout,2008-10-01
64,Sverige,Carlsberg Sverige,Falcon Gammelbryggd,2008-12-03
65,Sverige,Hantverksbryggeriet,Narren,2008-12-03
66,Sverige,Nils Oscar,India Ale,2008-11-05
67,Sverige,Nils Oscar,Kallasöl,2008-11-05
68,Sverige,Skebo Bruksbryggeri,Trippel Gold Bitter,2008-02-06
69,Sverige,Spendrups,Visby Vinterbock,2008-04-02
70,Tyskland,Hofbräu München,Oktoberfestbier,2008-10-01
71,USA,Brooklyn Brewery,Brooklyn Brown Ale,2008-08-06
