Ölets namn,Land,Bryggeri,Provdatum,Antal Provare,Medelbetyg,Medelbetyg för öltyp,Medelbetyg för unik/intressant
Pilsner Urquell,Tjeckien, Plzeňský prazdroj i Plzeň,2006-09-06,,,,
Kozel Premium Lager 12°,Tjeckien,Plzensky Prazdroj (SABMiller),2006-09-06,,,,
Half n Half,Tjeckien,Drinks Union,2010-11-03,,,,
Gambrinus Premium Svetlý Ležák 12°,Tjeckien,Plzeňský Prazdroj (Asahi),2006-09-06,,,,
Merry Christmas & Happy New Year (Our Special Ale),USA,Anchor Brewing Company,2005-12-07,,,,
Go To Ipa,USA,Stone Brewing,2020-02-05,51,6.41176470588,,
Sixpoint Righteous Ale,USA,Sixpoint Brewery,2012-11-07,,,,
Summer Ale,USA,Michigan Brewing Co,2008-06-04,,,,
Pale Ale,USA,Sierra Nevada Brewing,2009-07-01,,,,
Tire Bite Golden Ale,USA,Flying dog,2009-07-01,,,,
Amber Ale,USA,Napa Smith,2013-08-07,,,,
Modus Hoperandi,USA,Ska Brewing co,2013-02-06,,,,
Old Scratch Amber Lager,USA,Flying dog,2009-03-04,,,,
Oktoberfest,USA,Samuel Adams Brewery,2007-10-03,,,,
Great Divide Ridgeline Amber Ale (Arapahoe Amber),USA,Great Divide Brewing Company,2007-08-01,,,,
Brooklyn Brown Ale,USA,Brooklyn Brewery,2008-08-06,,,,
Hercules Double IPA,USA,Great Divide Brewing Company,2008-09-05,,,,
Hopa Geddon,USA,Napa Smith,2013-08-07,,,,
ESB Special Ale,USA,Ska Brewing co,2013-02-06,,,,
Liberty Ale,USA,Anchor Brewing Company,2009-06-03,,,,
Stone Ruination Double IPA 2.0 ,USA,Stone Brewing,2020-02-05,51,6.78431372549,,
Rogue Chipotle Ale,USA,Rogue Ales,2007-08-01,,,,
Pick Axe IPA,USA,Tommy Knocker Brewery,2013-09-04,,,,
Anchor Steam,USA,Anchor Brewing Company,2009-06-03,,,,
Prima Pils,USA,Victory Brewing,2010-05-05,,,,
High Seas,USA,Michigan Brewing Co,2008-06-04,,,,
Lagunita IPA,USA,Lagunita Brewing Co,2013-09-04,,,,
Sixpoint Bengali Tiger IPA,USA,Sixpoint Brewery,2012-11-07,,,,
Merry Christmas & Happy New Year (Our Special Ale) (2005),USA,Anchor Brewing Company,2005-12-07,,,,
Samuel Adams Winter Lager,USA,Samuel Adams,2009-12-02,,,,
The Crisp,USA,Six Point Brewery,2013-05-01,,,,
Zlatý Bažant,Slovakien,Zlatý Bažant,2009-08-05,,,,
Braunstein Winter Bock,Danmark,Bryghuset Braunstein,2008-03-05,,,,
Jacobsen Original Dark Lager,Danmark,Husbryggeriet Jacobsen (Carlsberg),2007-01-03,,,,
To ol snublejuice,Danmark,To Øl,2019-11-06,46,6.34782608696,,
Dead Cat,Danmark,Bear Here,2013-04-03,,,,
To Øl Wop Wops New Zealand Pale Ale,Danmark,To Øl,2019-11-06,43,6.41860465116,,
Kärlek vår_sommar 2013,Danmark,Mikkeller,2013-05-01,,,,
Beer Geek Breakfast,Danmark,Mikkeller,2013-04-03,,,,
Bishop_s Arms House Ale,Storbritanien,Shepherd Neame Ltd,2006-12-06,,,,
Twelve Days,Storbritanien,Hook Norton Brewery,2009-10-07,,,,
The Famous Taddy Porter,Storbritanien,Samuel Smith's Old Brewery,2019-12-04,48,6.27083333333,,
Ushers Founders Ale,Storbritanien,Wychwood Marstons plc,2006-01-04,,,,
Bishop finger,Storbritanien,Shepherd Neame Ltd,2006-04-05,,,,
Old Hooky,Storbritanien,Hook Norton Brewery,2009-10-07,,,,
Oyster Stout,Storbritanien,Marstons,2008-10-01,,,,
Shepherd Neame 1698,Storbritanien,Shepherd Neame Ltd,2006-07-05,,,,
Whitstable Bay,Storbritanien,Shepherd Neame Ltd,2006-04-05,,,,
Daleside Monkey Wrench,Storbritanien,Daleside,2007-09-05,,,,
Gorilla,Storbritanien,Summer Vine Brewing,2013-01-02,,,,
Ringwood XXXX Porter,Storbritanien,Ringwood Marstons plc,2007-09-05,,,,
Fullers Discovery,Storbritanien,Fullers,2006-01-04,,,,
Young's Winter Warmer,Storbritanien,Wells & Young's Ltd,2006-12-06,,,,
Spitfire,Storbritanien,Shepherd Neame Ltd,2006-04-05,,,,
Shepherd Neame Christmas Ale,Storbritanien,Shepherd Neame Ltd,2007-12-05,,,,
Shepherd Neame Late Red,Storbritanien,Shepherd Neame Ltd,2006-04-05,,,,
Kronenbourg Blanc,Frankrike,Brasseries Kronenbourg,2008-02-06,,,,
Hoptical Illusion,Kanada,Flying Monkeys Craft Brewery,2013-01-02,,,,
Stiegl Pils,Österike,Stiegl,2006-05-03,,,,
Jever Pilsener,Tyskland,Friesisches Brauhaus,2007-12-01,,,,
Aecht Schlenkerla Rauchbier Märzen,Tyskland,Brauerei Heller-Trum _ Schlenkerla,2006-07-05,,,,
Spaten Oktoberfestbier,Tyskland,Spaten-Franziskaner-Bräu,2006-10-04,,,,
Salvator,Tyskland,Paulaner Brauerei _Schörghuber_,2007-04-04,,,,
Einbecker Brauherren Pils,Tyskland,Einbecker Brauhause,2009-03-04,,,,
Oktoberfestbier,Tyskland,Hofbräu München,2008-10-01,,,,
Paulaner Oktoberfest Bier,Tyskland,Paulaner Brauerei (Schörghuber),2006-10-04,,,,
Spaten Optimator,Tyskland,Spaten-Franziskaner-Bräu,2006-10-04,,,,
Hacker-Pschorr Braumeister Pils,Tyskland,Paulaner Brauerei (Schörghuber),2006-08-02,,,,
Affligem Dubbel,Belgien,Brouwerij Affligem De Smedt,2007-03-07,,,,
Lindemans Kriek Cuvée René,Belgien,Brouwerij Lindemans,2008-09-05,,,,
La Trappe Tripel,Belgien,Brouwerij de Koningshoeven,2007-12-01,,,,
Rodenbach Grand Cru,Belgien,Brouwerij Rodenbach,2009-05-06,,,,
Affligem Blond,Belgien,Brouwerij Affligem De Smedt,2007-03-07,,,,
De Dolle Dulle Teve _Mad Bitch_,Belgien,Brouwerij De Dolle Brouwers,2008-01-02,,,,
Gouden Carolus Classic,Belgien,Het Anker,2008-07-02,,,,
Steenbrugge Dubbel Bruin,Belgien,Palm Breweries,2009-04-01,,,,
Verhaeghe Duchesse De Bourgogne,Belgien,Verhaeghe,2008-04-02,,,,
St.Benoit Blond,Belgien,Brasserie Du Bocq,2010-09-01,,,,
Gordon X-Mas Ale,Belgien,John Martin _Scottish & Newcastle_,2005-12-07,,,,
Grottenbier,Belgien,St. Bernardus,2007-07-04,,,,
Steenbrugge Blond,Belgien,Palm Breweries,2009-04-01,,,,
Wit,Belgien,St. Bernardus,2008-07-02,,,,
Floreffe Double,Belgien,Brasserie Lefebvre,2009-02-04,,,,
King Cobra,Belgien,Palm Breweries,2007-02-07,,,,
Floreffe Blond,Belgien,Brasserie Lefebvre,2009-02-04,,,,
Oerbier,Belgien,Brouwerij De Dolle Brouwers,2007-07-04,,,,
Heather Ales Kelpie,Skottland,Williams Brothers _Heather Ales_,2007-02-07,,,,
Wee Heavey,Skottland,Belhaven,2009-09-02,,,,
Lia Fail,Skottland,Inveralmond Brewery,2009-11-04,,,,
Punk Ipa,Skottland,BrewDog,2010-09-01,,,,
Alba,Skottland,Williams Brothers _Heather Ales_,2013-07-03,,,,
Original,Skottland,Innis & Gunn,2010-07-07,,,,
Innis & Gunn Rum Finish Oak Aged Beer,Skottland,Innis & Gunn,2008-01-02,,,,
Caledonian 80,Skottland,The Caledonian Brewing Company,2006-08-02,,,,
Twisted Thistle IPA,Skottland,Belhaven,2009-09-02,,,,
Traquair House Ale,Skottland,Traquair House,2007-01-03,,,,
Ossian,Skottland,Inveralmond Brewery,2009-11-04,,,,
Birrificio dei Castelli Mirabilia,Italien,Birrificio dei Castelli,2019-07-03,41,5.73170731707,,
Birra Poretti,Italien,Birrificio Angelo Poretti,2008-09-05,,,,
Birrificio dei Castelli Suave,Italien,Birrificio dei Castelli,2019-07-03,41,5.53658536585,,
Hazie Dizzie,Sverige,Odd Island Brewing,2020-01-02,41,6.56097560976,,
Hälsinge Stout,Sverige,Hällsinge bryggeri,2007-05-02,,,,
Närke Mörker,Sverige,Närke Kulturbryggeri,2009-12-02,,,,
USB _UteSittarBärs_,Sverige,Skebo Bruksbryggeri,2010-08-04,,,,
India Ale,Sverige,Nils Oscar,2008-11-05,,,,
Slottskällans Bryggeri,Sverige,Slottskällans Bryggeri,2006-03-01,,,,
Mysingen Midvinterbrygd,Sverige,Nynäshamns Ångbryggeri AB,2010-04-07,,,,
Kallasöl,Sverige,Nils Oscar,2008-11-05,,,,
Marierstad Export,Sverige,Spendrups,2007-06-06,,,,
Trippel Gold Bitter,Sverige,Skebo Bruksbryggeri,2008-02-06,,,,
Wisby Hansapils,Sverige,Spendrups,2007-06-06,,,,
Falcon Gammelbryggd,Sverige,Carlsberg Sverige,2008-12-03,,,,
Nils Oscar Kalaspåsköl,Sverige,Nils Oscar,2007-04-04,,,,
Jädrajul,Sverige,Jädraås Bryggeri AB,2019-12-04,48,5.1875,,
Landsort lager,Sverige,Nynäshamns Ångbryggeri AB,2010-11-03,,,,
Hell,Sverige,Jämtlands bryggeri,2010-07-07,,,,
Eriksberg Julöl,Sverige,Carlsberg Sverige,2010-12-01,,,,
Jämtlands India Pale Ale,Sverige,Jämtlands bryggeri,2009-01-07,,,,
Sandbacka bitter,Sverige,Sandbacka bryggeri,2010-05-05,,,,
Bruksöl,Sverige,Skebo Bruksbryggeri,2007-05-02,,,,
Nils Oscar Farm Ale,Sverige,Nils Oscar,2006-03-01,,,,
SITTING BULLDOG IPA,Sverige,Spendrups,2010-04-07,,,,
Åbro Arton56 Amber,Sverige,Åbro bryggeri,2006-11-01,,,,
Hope Yard,Sverige,Nils Oscar,2013-07-03,,,,
Visby Vinterbock,Sverige,Spendrups,2008-04-02,,,,
Bedarö Bitter,Sverige,Nynäshamns Ångbryggeri AB,2007-12-01,,,,
Narren,Sverige,Hantverksbryggeriet,2008-12-03,,,,
Zeunerts Höga Kusten,Sverige,Zeunerts Bryggeri _Kopparberg_,2010-08-04,,,,
Wisby Sleepy Bulldog Winter Ale,Sverige,Spendrups,2010-12-01,,,,
Citrauvin,Sverige,Odd Island Brewing,2020-01-02,41,7.29268292683,,
HUMLE-HILDAS ALTBIER,Sverige,Sigtuna Brygghus,2009-05-06,,,,
Jämtlands Tiotaggare,Sverige,Jämtlands bryggeri,2006-11-01,,,,
Kirin Ichiban,Japan,Kirin Beer,2009-01-07,,,,
